"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/Constants.js", "JavaScript", 0, 179, 0, 0, 9, 188
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/ChromeWindowComp_Created.js", "JavaScript", 0, 214, 0, 0, 116, 330
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/TestComp_created.js", "JavaScript", 0, 39, 0, 0, 20, 59
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/chromeWindow.html", "HTML", 88, 0, 0, 0, 1, 89
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/create_component.cjs", "JavaScript", 0, 239, 0, 28, 51, 318
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/load_components.js", "JavaScript", 0, 4, 0, 0, -1, 3
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/navBar.js", "JavaScript", 0, -126, 0, 0, -6, -132
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/newCompFile.js", "JavaScript", 0, 35, 0, 0, 18, 53
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/taskbar_apps.js", "JavaScript", 0, 82, 0, 5, 29, 116
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/test.html", "HTML", 13, 0, 0, 0, 0, 13
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/windows.js", "JavaScript", 0, 130, 0, 15, 70, 215
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/homepage.js", "JavaScript", 0, 4, 0, 1, 0, 5
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/index.html", "HTML", 2, 0, 0, 0, 2, 4
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/styles/taskbar.css", "CSS", 0, 0, 45, 3, 6, 54
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/styles/windows.css", "CSS", 0, 0, 228, 6, 59, 293
"Total", "-", 103, 800, 273, 58, 374, 1608